Campaign report
"November 1, 2025 - November 30, 2025"
Campaign status,Campaign,Budget,Budget name,Budget type,Status,Status reasons,Optimization score,Campaign type,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Search impr. share,Search lost IS (rank),Search lost IS (budget),Bid strategy type,Participated in-app actions,Conv. rate,Conv. value,Conv. value / cost,Conversions,Cost / Participated in-app action,Cost / conv.,Original conv. value
Enabled,Sales Search - Dry Cleaning,140.00, --,Daily,Eligible (Limited),limited by budget; unknown,97.26,Search,"10,061",912,9.06%,AED,3.57,3255.95,< 10%,75.03%,18.94%,Maximize Conversion Value (Target ROAS),0.00,7.51%,229.55,0.07,68.50,0,47.53,229.55
Enabled,Website traffic-Search-2,170.00, --,Daily,Eligible (Limited),limited by budget; unknown,97.26,Search,"20,909","1,633",7.81%,AED,3.08,5032.13,< 10%,75.48%,15.64%,Maximize Conversion Value,0.00,9.89%,226.68,0.05,161.50,0,31.16,226.68
Enabled,Performance Max #2,200.00, --,Daily,Eligible (Limited),limited by budget; unknown,88.77,Performance Max,"21,556","3,823",17.74%,AED,0.16,630.40,< 10%,> 90%,0.00%,Maximize Conversion Value (Target ROAS),0.00,0.21%,9.67,0.02,8.00,0,78.80,9.67
Enabled,App promotion for Android,140.00, --,Daily,Eligible (Limited),limited by budget; unknown,99.00,App,"226,500","5,663",2.50%,AED,0.76,4279.35, --, --, --,Maximize Conversions,0.00,13.17%,0.00,0.00,746.00,0,5.74,0.00
Total: Campaigns, --, --, --, --, --,, --, --,"279,026","12,031",4.31%,AED,1.10,13197.82,< 10%,76.32%,15.71%, --,0,8.18%,465.91,0.04,984.00,0,13.41,465.91
Total: Account,,,,,,,,,"279,026","12,031",4.31%,AED,1.10,13197.82,< 10%,76.32%,15.71%,,,8.18%,465.91,0.04,984.00,,13.41,465.91
Total: Search,,,,,,,,Search,"30,970","2,545",8.22%,AED,3.26,8288.08,< 10%,75.35%,16.60%,,,9.04%,456.23,0.06,230.00,,36.04,456.23
Total: App,,,,,,,,App,"226,500","5,663",2.50%,AED,0.76,4279.35, --, --, --,,,13.17%,0.00,0.00,746.00,,5.74,0.00
Total: Performance Max,,,,,,,,Performance Max,"21,556","3,823",17.74%,AED,0.16,630.40,< 10%,> 90%,0.00%,,,0.21%,9.67,0.02,8.00,,78.80,9.67
