Campaign report
"August 1, 2025 - August 31, 2025"
Campaign status,Campaign,Budget,Budget name,Budget type,Status,Status reasons,Optimization score,Campaign type,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Search impr. share,Search lost IS (rank),Search lost IS (budget),Bid strategy type,Participated in-app actions,Conv. rate,Conv. value,Conv. value / cost,Conversions,Cost / Participated in-app action,Cost / conv.,Original conv. value
Enabled,Website traffic-Search-2,170.00, --,Daily,Eligible (Limited),limited by budget; unknown,97.26,Search,"11,337",758,6.69%,AED,4.72,3578.05,< 10%,4.52%,86.82%,Maximize Conversion Value,0.00,12.66%,122.73,0.03,96.00,0,37.27,122.73
Enabled,Sales Search - Dry Cleaning,140.00, --,Daily,Eligible (Limited),limited by budget; unknown,97.26,Search,"2,194",504,22.97%,AED,2.83,1427.24,< 10%,70.36%,24.48%,Maximize Conversion Value (Target ROAS),0.00,8.83%,163.45,0.11,44.50,0,32.07,163.45
Enabled,App promotion for Android,140.00, --,Daily,Eligible (Limited),limited by budget; unknown,99.00,App,"149,107","3,110",2.09%,AED,0.78,2422.27, --, --, --,Maximize Conversions,0.00,19.13%,0.00,0.00,595.00,0,4.07,0.00
Enabled,Performance Max #2,200.00, --,Daily,Eligible (Limited),limited by budget; unknown,88.77,Performance Max,"387,338","98,033",25.31%,AED,0.05,4428.13,< 10%,> 90%,2.58%,Maximize Conversion Value (Target ROAS),0.00,0.25%,272.18,0.06,240.30,0,18.43,272.18
Total: Campaigns, --, --, --, --, --,, --, --,"549,976","102,405",18.62%,AED,0.12,11855.69,< 10%,31.91%,60.37%, --,0,0.95%,558.35,0.05,975.80,0,12.15,558.35
Total: Account,,,,,,,,,"549,976","102,405",18.62%,AED,0.12,11855.69,< 10%,31.91%,60.37%,,,0.95%,558.35,0.05,975.80,,12.15,558.35
Total: Search,,,,,,,,Search,"13,531","1,262",9.33%,AED,3.97,5005.29,< 10%,20.55%,71.64%,,,11.13%,286.18,0.06,140.50,,35.62,286.18
Total: App,,,,,,,,App,"149,107","3,110",2.09%,AED,0.78,2422.27, --, --, --,,,19.13%,0.00,0.00,595.00,,4.07,0.00
Total: Performance Max,,,,,,,,Performance Max,"387,338","98,033",25.31%,AED,0.05,4428.13,< 10%,> 90%,2.58%,,,0.25%,272.18,0.06,240.30,,18.43,272.18
