Campaign report
"May 1, 2025 - May 31, 2025"
Campaign status,Campaign,Budget,Budget name,Budget type,Status,Status reasons,Optimization score,Campaign type,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Search impr. share,Search lost IS (rank),Search lost IS (budget),Bid strategy type,Participated in-app actions,Conv. rate,Conv. value,Conv. value / cost,Conversions,Cost / Participated in-app action,Cost / conv.,Original conv. value
Enabled,App promotion for Android,140.00, --,Daily,Eligible (Limited),limited by budget; unknown,99.00,App,"185,383","6,228",3.36%,AED,0.57,3544.35, --, --, --,Maximize Conversions,0.00,15.61%,0.00,0.00,972.00,0,3.65,0.00
Enabled,Website traffic-Search-2,170.00, --,Daily,Eligible (Limited),limited by budget; unknown,97.26,Search,"3,790",333,8.79%,AED,5.54,1844.74,11.12%,11.61%,77.27%,Maximize Conversion Value,0.00,17.42%,68.69,0.04,58.00,0,31.81,68.69
Enabled,Sales Search - Dry Cleaning,140.00, --,Daily,Eligible (Limited),limited by budget; unknown,97.26,Search,"28,814","1,541",5.35%,AED,5.39,8312.89,< 10%,68.87%,21.66%,Maximize Conversion Value (Target ROAS),0.00,5.64%,319.16,0.04,86.89,0,95.67,319.16
Enabled,Performance Max #2,200.00, --,Daily,Eligible (Limited),limited by budget; unknown,88.77,Performance Max,0,0, --,AED,0,0.00, --, --, --,Maximize Conversion Value (Target ROAS),0.00,0.00%,0.00,0.00,0.00,0,0.00,0.00
Total: Campaigns, --, --, --, --, --,, --, --,"217,987","8,102",3.72%,AED,1.69,13701.98,< 10%,57.62%,32.58%, --,0,13.79%,387.85,0.03,"1,116.89",0,12.27,387.85
Total: Account,,,,,,,,,"234,027","9,574",4.09%,AED,1.74,16616.92,< 10%,64.89%,26.11%,,,12.47%,568.26,0.03,"1,193.67",,13.92,568.26
Total: Search,,,,,,,,Search,"32,604","1,874",5.75%,AED,5.42,10157.63,< 10%,57.62%,32.58%,,,7.73%,387.85,0.04,144.89,,70.10,387.85
Total: Performance Max,,,,,,,,Performance Max,"16,040","1,472",9.18%,AED,1.98,2914.94,< 10%,80.46%,12.24%,,,5.22%,180.41,0.06,76.77,,37.97,180.41
Total: App,,,,,,,,App,"185,383","6,228",3.36%,AED,0.57,3544.35, --, --, --,,,15.61%,0.00,0.00,972.00,,3.65,0.00
