Campaign report
"July 1, 2025 - July 31, 2025"
Campaign status,Campaign,Budget,Budget name,Budget type,Status,Status reasons,Optimization score,Campaign type,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Search impr. share,Search lost IS (rank),Search lost IS (budget),Bid strategy type,Participated in-app actions,Conv. rate,Conv. value,Conv. value / cost,Conversions,Cost / Participated in-app action,Cost / conv.,Original conv. value
Enabled,Performance Max #2,200.00, --,Daily,Eligible (Limited),limited by budget; unknown,88.77,Performance Max,"565,245","143,485",25.38%,AED,0.04,5250.95,< 10%,89.13%,6.27%,Maximize Conversion Value (Target ROAS),0.00,0.22%,322.37,0.06,309.00,0,16.99,322.37
Enabled,Website traffic-Search-2,170.00, --,Daily,Eligible (Limited),limited by budget; unknown,97.26,Search,"9,407",668,7.10%,AED,5.35,3570.68,< 10%,3.69%,86.55%,Maximize Conversion Value,0.00,11.38%,81.35,0.02,76.00,0,46.98,81.35
Enabled,Sales Search - Dry Cleaning,140.00, --,Daily,Eligible (Limited),limited by budget; unknown,97.26,Search,"4,543",664,14.62%,AED,5.08,3374.31,< 10%,69.90%,24.23%,Maximize Conversion Value (Target ROAS),0.00,7.61%,185.49,0.05,50.50,0,66.82,185.49
Enabled,App promotion for Android,140.00, --,Daily,Eligible (Limited),limited by budget; unknown,99.00,App,"168,547","5,316",3.15%,AED,0.56,2997.78, --, --, --,Maximize Conversions,0.00,16.20%,0.00,0.00,861.00,0,3.48,0.00
Total: Campaigns, --, --, --, --, --,, --, --,"747,742","150,133",20.08%,AED,0.10,15193.73,< 10%,43.79%,48.84%, --,0,0.86%,589.20,0.04,"1,296.50",0,11.72,589.20
Total: Account,,,,,,,,,"747,742","150,133",20.08%,AED,0.10,15193.73,< 10%,43.79%,48.84%,,,0.86%,589.20,0.04,"1,296.50",,11.72,589.20
Total: App,,,,,,,,App,"168,547","5,316",3.15%,AED,0.56,2997.78, --, --, --,,,16.20%,0.00,0.00,861.00,,3.48,0.00
Total: Performance Max,,,,,,,,Performance Max,"565,245","143,485",25.38%,AED,0.04,5250.95,< 10%,89.13%,6.27%,,,0.22%,322.37,0.06,309.00,,16.99,322.37
Total: Search,,,,,,,,Search,"13,950","1,332",9.55%,AED,5.21,6945.00,< 10%,32.23%,59.69%,,,9.50%,266.83,0.04,126.50,,54.90,266.83
